hotel_name,city,state,property_type,star_rating,review_rating,review_count,price,distance_to_landmark_km,nearest_landmark,has_wifi,has_parking,has_pool,has_ac,has_breakfast,has_fitness_center,has_spa,has_restaurant,has_bar,pet_friendly,kid_friendly,wheelchair_accessible,has_hot_tub,has_airport_shuttle,has_room_service,source_dataset
KTDC Grand Chaithram,trivandrum,Kerala,Hotel,3.0,4.1,,2509.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Majestic Lodge,trivandrum,Kerala,Hotel,,4.1,,1236.0,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Safire Residency,trivandrum,Kerala,Hotel,3.0,4.0,,1165.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,google
Hotel Sunday - Townhouse Club - Near Airport - Trivandrum,trivandrum,Kerala,Hotel,,3.7,,1120.0,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,google
Meghna Residency,trivandrum,Kerala,Hotel,3.0,3.6,,831.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,google
The South Gate By WB Hotels,trivandrum,Kerala,Hotel,,3.9,,2111.0,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,google
Anies Garden | Rooms in a Homestay,trivandrum,Kerala,Hotel,,4.3,,1645.0,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Treebo Trend Goodland Residency,trivandrum,Kerala,Hotel,3.0,4.1,,4265.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,google
Windsor Rajadhani,trivandrum,Kerala,Hotel,4.0,4.1,,4341.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
Backwater Ripples,kumarakom,Kerala,Hotel,3.0,4.4,,8968.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Lakesong Resort,kumarakom,Kerala,Hotel,4.0,4.2,,11948.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Abad Whispering Palms | Resort in Kumarakom,kumarakom,Kerala,Hotel,4.0,4.3,,6921.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Cocobay Resort,kumarakom,Kerala,Hotel,3.0,4.2,,6138.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Paradise Resorts Kumarakom,kumarakom,Kerala,Hotel,3.0,4.1,,5148.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,google
"The Zuri Kumarakom, Kerala Resort & Spa",kumarakom,Kerala,Hotel,5.0,4.3,,13682.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
Saro Lake County,kumarakom,Kerala,Hotel,3.0,4.0,,2945.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,google
Kumarakom Heritage Resort & Ayurveda,kumarakom,Kerala,Hotel,3.0,4.1,,5355.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Rhythm Kumarakom,kumarakom,Kerala,Hotel,5.0,4.5,,14712.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Manor Backwater Resort,kumarakom,Kerala,Hotel,3.0,3.8,,3024.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
ILLIKKALAM Lakeside Cottages,kumarakom,Kerala,Hotel,3.0,4.1,,3549.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,google
KTDC Waterscapes,kumarakom,Kerala,Hotel,4.0,4.5,,10560.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Backwater Brook,kumarakom,Kerala,Hotel,,4.7,,5063.0,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,google
Gokulam Grand Resort and Spa Kumarakom,kumarakom,Kerala,Hotel,,4.7,,14059.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Backwater Ripples,kumarakom,Kerala,Hotel,3.0,4.4,,8961.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Lily Pad on the Vembanad,kumarakom,Kerala,Hotel,3.0,4.2,,6160.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Kumarakom Lake Resort,kumarakom,Kerala,Hotel,5.0,4.8,,30267.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
Renai Green Fields,kumarakom,Kerala,Hotel,3.0,3.8,,2849.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Kumarakom Park Resort,kumarakom,Kerala,Hotel,,4.3,,6726.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Meenakshi River Villa | Rooms & Wi-Fi,kumarakom,Kerala,Hotel,,4.5,,3488.0,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Kumarakom Wood Castle,kumarakom,Kerala,Hotel,,4.4,,2861.0,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Abad Whispering Palms | Resort in Kumarakom,kumarakom,Kerala,Hotel,4.0,4.3,,7999.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
ILLIKKALAM Lakeside Cottages,kumarakom,Kerala,Hotel,3.0,4.1,,3724.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,google
Treebo Trend Kuval Inn,pune,Maharashtra,Hotel,,4.2,,2084.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,google
Hotel Corporate Stay,pune,Maharashtra,Hotel,3.0,4.0,,2123.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,google
Jugglers Backpack,pune,Maharashtra,Hotel,,4.7,,1116.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,google
Hyatt Pune,pune,Maharashtra,Hotel,5.0,4.4,,9701.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
"The Central Park Hotel, Pune",pune,Maharashtra,Hotel,4.0,4.1,,3708.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
"Four Points by Sheraton Hotel & Serviced Apartments, Pune",pune,Maharashtra,Hotel,5.0,4.3,,6796.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Hotel Phoenix,pune,Maharashtra,Hotel,3.0,4.0,,2752.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,google
Hotel anvisha executive,pune,Maharashtra,Hotel,,4.4,,1067.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
EMA Family Rooms,pune,Maharashtra,Hotel,,3.8,,1241.0,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
JM Four Hotel,pune,Maharashtra,Hotel,3.0,3.9,,2550.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,google
Royal Orchid Central Pune,pune,Maharashtra,Hotel,4.0,4.3,,5085.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
"StayBird - B Suite, Business Hotel",pune,Maharashtra,Hotel,3.0,4.0,,2512.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,google
Hotel Sardar,pune,Maharashtra,Hotel,3.0,3.5,,1344.0,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,google
Sunny's World,pune,Maharashtra,Hotel,,4.2,,4549.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Procida Hostel by Zero Jhanjhat,pune,Maharashtra,Hotel,,4.4,,921.0,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
The Oakwood,pune,Maharashtra,Hotel,4.0,4.0,,3333.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Sheraton Grand Pune Bund Garden Hotel,pune,Maharashtra,Hotel,5.0,4.5,,9435.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
Pratikruti The Lakeview Resort,pune,Maharashtra,Hotel,3.0,4.2,,1284.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,google
Hotel Centro,pune,Maharashtra,Hotel,,4.4,,2607.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,google
St Laurn Hotel,pune,Maharashtra,Hotel,4.0,3.9,,4381.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Cherry Tree | Rooms & Wi-Fi,pune,Maharashtra,Hotel,,3.6,,1588.0,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Fairfield by Marriott Pune Kharadi,pune,Maharashtra,Hotel,4.0,4.3,,7280.0,,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Sunny's World,pune,Maharashtra,Hotel,,4.2,,4549.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Novotel Chennai Sipcot,chennai,Tamil Nadu,Hotel,5.0,4.7,,5145.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Park Plaza Chennai OMR,chennai,Tamil Nadu,Hotel,5.0,4.1,,4704.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Avenue 11 Boutique Residences | Rooms & Caretaker,chennai,Tamil Nadu,Hotel,,4.0,,3853.0,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
"Olive Inn Luxurious 4-BHK Villa with Indoor Swimming Pool, Wifi, BBQ",chennai,Tamil Nadu,Villa,,3.4,,9753.0,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Juhu Beach House ECR,chennai,Tamil Nadu,Hotel,,4.5,,4965.0,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Umino Beach Resort Banquet Hall and Restaurant,chennai,Tamil Nadu,Hotel,,4.3,,3677.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
VGP Golden Beach Resort,chennai,Tamil Nadu,Hotel,2.0,3.9,,4267.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
"Regenta Central RS, Chennai(OMR). 4 Star Hotel",chennai,Tamil Nadu,Hotel,,4.2,,3366.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Turyaa Chennai,chennai,Tamil Nadu,Hotel,5.0,4.3,,3797.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Blue Lagoon Beach Resort,chennai,Tamil Nadu,Hotel,3.0,3.9,,6402.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Fairfield by Marriott Chennai OMR,chennai,Tamil Nadu,Hotel,4.0,4.2,,3707.0,,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Four Points by Sheraton Chennai OMR,chennai,Tamil Nadu,Hotel,4.0,4.2,,5053.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
"Taj Club House, Chennai",chennai,Tamil Nadu,Hotel,5.0,4.4,,7552.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,google
"Vivanta Chennai, IT Expressway",chennai,Tamil Nadu,Hotel,5.0,4.3,,5485.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,google
Ilara Hotels & Spa,chennai,Tamil Nadu,Hotel,3.0,4.6,,4234.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Maroma Suites,chennai,Tamil Nadu,Hotel,,4.5,,3795.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,google
The Madras Grand - Hotel Egmore,chennai,Tamil Nadu,Hotel,,4.5,,4974.0,,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,google
"Holiday Inn Express Chennai Omr Thoraipakkam, an IHG Hotel",chennai,Tamil Nadu,Hotel,2.0,4.1,,3859.0,,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,google
"Crowne Plaza New Delhi Rohini, an IHG Hotel",delhi,Delhi,Hotel,4.0,4.4,,7825.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
ट्राइडेंट होटल,delhi,Delhi,Hotel,5.0,4.6,,12272.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
Nu Delhi Homestay - Deluxe Double Room,delhi,Delhi,House,,4.6,,1999.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,google
The Leela Ambience Convention Hotel Delhi,delhi,Delhi,Hotel,5.0,4.5,,9809.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
Hotel City Park- Hotels in Delhi,delhi,Delhi,Hotel,4.0,4.2,,5376.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
Hotel Mayda Residency By Mayda Hospitality Pvt. Ltd.,delhi,Delhi,Hotel,,4.6,,1212.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,google
JRD Pride,delhi,Delhi,Hotel,3.0,4.4,,4720.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,google
Radisson Blu Hotel New Delhi Paschim Vihar,delhi,Delhi,Hotel,5.0,4.4,,7285.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
IIDL Suites,delhi,Delhi,Hotel,5.0,4.3,,5720.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
Park Inn by Radisson New Delhi IP Extension,delhi,Delhi,Hotel,4.0,4.3,,6828.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
IIDL Suites,delhi,Delhi,Apartment,,3.8,,6163.0,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,google
"Welcomhotel By ITC Hotels, Dwarka, New Delhi - Contemporary Hotel in the Capital | Ideal for Business & Leisure Travellers",delhi,Delhi,Hotel,5.0,4.5,,8141.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
Sarovar Portico Naraina,delhi,Delhi,Hotel,3.0,3.9,,4536.0,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,google
Hyatt Centric Janakpuri New Delhi,delhi,Delhi,Hotel,5.0,3.8,,7484.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,google
"Taj Palace, New Delhi",delhi,Delhi,Hotel,5.0,4.7,,15050.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,google
The Pamposh,delhi,Delhi,Hotel,3.0,3.7,,3931.0,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,google
Caves by Craftels,delhi,Delhi,Hotel,,4.7,,5040.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,google
Bloomrooms @ Janpath,delhi,Delhi,Hotel,3.0,4.4,,6451.0,,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
Ramada by Wyndham New Delhi Pitampura,delhi,Delhi,Hotel,4.0,3.9,,6305.0,,,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,google
